Date,Time,System Utilization,Eligible/Idle Jobs,Active Jobs
2021/03/09,19:24,41.168,12/22,35
2021/03/09,19:34,41.168,12/22,35
2021/03/09,19:44,41.168,12/22,35
2021/03/09,19:54,41.168,12/22,35
2021/03/09,20:04,40.872,12/22,34
2021/03/09,20:14,40.872,12/22,34
2021/03/09,20:24,40.872,12/25,34
2021/03/09,20:34,40.650,12/23,33
2021/03/09,20:44,37.398,11/23,32
2021/03/09,20:54,37.546,10/21,32
2021/03/09,21:04,37.546,10/20,32
2021/03/09,21:14,37.546,10/20,32
2021/03/09,21:24,99.926,9/19,30
2021/03/09,21:34,98.965,9/18,29
2021/03/09,21:44,98.965,10/20,29
2021/03/09,21:54,98.596,11/22,28
2021/03/09,22:04,98.596,12/24,28
2021/03/09,22:14,99.852,11/23,28
2021/03/09,22:24,99.852,11/22,28
2021/03/09,22:34,99.852,14/28,28
2021/03/09,22:44,99.852,14/28,28
2021/03/09,22:54,99.852,14/30,29
2021/03/09,23:04,99.852,13/26,29
2021/03/09,23:14,99.852,14/28,29
2021/03/09,23:24,99.852,14/28,29
2021/03/09,23:34,99.852,14/28,29
2021/03/09,23:44,100.000,18/39,30
2021/03/09,23:54,56.911,13/39,40
2021/03/10,00:04,55.876,10/23,40
2021/03/10,00:14,55.876,8/18,40
2021/03/10,00:24,54.767,6/14,39
2021/03/10,00:34,54.767,4/10,39
2021/03/10,00:44,52.846,4/8,36
2021/03/10,00:54,52.846,4/8,36
2021/03/10,01:04,52.846,4/8,36
2021/03/10,01:14,99.704,3/7,36
2021/03/10,01:24,99.704,1/2,36
2021/03/10,01:34,99.704,1/2,36
2021/03/10,01:44,78.936,1/4,37
2021/03/10,01:54,78.936,5/0,37
2021/03/10,02:04,72.284,5/0,36
2021/03/10,02:14,72.284,5/0,36
2021/03/10,02:24,72.284,5/0,36
2021/03/10,02:34,72.284,5/0,36
2021/03/10,02:44,72.284,5/0,36
2021/03/10,02:54,72.284,5/0,36
2021/03/10,03:04,72.284,5/0,36
2021/03/10,03:14,72.284,5/0,36
2021/03/10,03:24,72.284,5/0,36
2021/03/10,03:34,72.284,5/0,36
2021/03/10,03:44,72.284,5/0,36
2021/03/10,03:54,72.284,5/0,36
2021/03/10,04:04,72.284,5/0,36
2021/03/10,04:14,72.284,5/0,36
2021/03/10,04:24,72.284,5/0,36
2021/03/10,04:34,72.284,5/0,36
2021/03/10,04:44,72.284,5/0,36
2021/03/10,04:54,72.284,5/0,36
2021/03/10,05:04,72.284,5/0,36
2021/03/10,05:14,71.545,5/0,35
2021/03/10,05:24,71.545,5/0,35
2021/03/10,05:34,70.362,5/0,34
2021/03/10,05:44,70.362,5/0,34
