Date,Time,System Utilization,Active Jobs
2021/03/08,21,41.34033333333333,6.666666666666667
2021/03/08,22,77.92566666666666,18.0
2021/03/08,23,82.3725,23.0
2021/03/09,00,47.844166666666666,26.333333333333332
2021/03/09,01,47.17933333333334,25.333333333333332
2021/03/09,02,46.3785,23.333333333333332
2021/03/09,03,45.972,22.0
2021/03/09,04,43.804,21.333333333333332
2021/03/09,05,42.72,21.0
2021/03/09,06,42.72,21.0
2021/03/09,07,44.309,21.5
2021/03/09,08,42.104166666666664,20.166666666666668
2021/03/09,09,42.04266666666667,20.833333333333332
2021/03/09,10,87.50916666666666,26.833333333333332
2021/03/09,11,88.91366666666666,36.333333333333336
2021/03/09,12,53.7695,39.833333333333336
2021/03/09,13,52.46366666666666,40.0
2021/03/09,14,52.784,38.833333333333336
2021/03/09,15,51.502833333333335,41.0
2021/03/09,16,52.586666666666666,43.666666666666664
2021/03/09,17,52.4635,43.0
2021/03/09,18,48.3495,38.333333333333336
2021/03/09,19,41.217166666666664,35.0
2021/03/09,20,39.70166666666667,33.166666666666664
2021/03/09,21,78.59066666666666,30.0
2021/03/09,22,99.64266666666667,28.166666666666668
2021/03/09,23,92.71983333333333,31.0
2021/03/10,00,54.49633333333333,38.333333333333336
2021/03/10,01,84.97166666666666,36.333333333333336
2021/03/10,02,72.284,36.0
2021/03/10,03,72.284,36.0
2021/03/10,04,72.284,36.0
2021/03/10,05,71.07666666666667,34.666666666666664
2021/03/10,06,70.362,34.0
2021/03/10,07,70.584,35.0
2021/03/10,08,70.9535,35.5
2021/03/10,09,70.67016666666667,39.0
2021/03/10,10,66.334,48.0
2021/03/10,11,72.48083333333334,54.333333333333336
2021/03/10,12,81.95366666666666,62.666666666666664
2021/03/10,13,84.048,63.166666666666664
2021/03/10,14,94.4935,63.0
2021/03/10,15,96.00883333333333,59.666666666666664
2021/03/10,16,93.76666666666667,55.833333333333336
2021/03/10,17,90.12083333333332,56.666666666666664
2021/03/10,18,75.7825,53.833333333333336
2021/03/10,19,76.66933333333333,56.0
2021/03/10,20,78.93583333333333,59.5
2021/03/10,21,79.798,58.166666666666664
2021/03/10,22,82.816,61.333333333333336
2021/03/10,23,87.497,66.16666666666667
2021/03/11,00,80.89433333333334,60.833333333333336
2021/03/11,01,76.6075,56.166666666666664
2021/03/11,02,92.10383333333334,54.5
2021/03/11,03,92.42416666666666,53.833333333333336
2021/03/11,04,92.43633333333332,52.666666666666664
2021/03/11,05,91.9805,50.0
2021/03/11,06,90.61349999999999,48.166666666666664
2021/03/11,07,88.80283333333334,46.166666666666664
2021/03/11,08,90.72466666666666,45.833333333333336
2021/03/11,09,91.057,42.666666666666664
2021/03/11,10,90.79849999999999,40.666666666666664
2021/03/11,11,96.6125,42.666666666666664
2021/03/11,12,99.34716666666667,43.666666666666664
2021/03/11,13,97.75816666666667,41.666666666666664
2021/03/11,14,99.95066666666666,41.166666666666664
2021/03/11,15,100.0,40.833333333333336
2021/03/11,16,99.98766666666667,40.166666666666664
2021/03/11,17,99.96300000000001,43.666666666666664
2021/03/11,18,99.50716666666666,53.333333333333336
2021/03/11,19,99.35933333333332,59.333333333333336
2021/03/11,20,97.99216666666666,59.166666666666664
2021/03/11,21,99.224,60.0
2021/03/11,22,96.98199999999999,65.83333333333333
2021/03/11,23,88.98766666666667,62.833333333333336
2021/03/12,00,87.46016666666667,61.0
2021/03/12,01,94.075,65.33333333333333
2021/03/12,02,94.752,63.5
2021/03/12,03,94.33366666666666,61.5
2021/03/12,04,94.53066666666666,61.0
2021/03/12,05,94.457,60.0
2021/03/12,06,95.63933333333334,59.5
2021/03/12,07,78.50466666666667,55.833333333333336
2021/03/12,08,45.75,52.5
2021/03/12,09,40.98283333333333,49.333333333333336
2021/03/12,10,40.749,51.166666666666664
2021/03/12,11,39.86216666666667,52.0
2021/03/12,12,40.219166666666666,49.833333333333336
2021/03/12,13,41.402,49.666666666666664
2021/03/12,14,100.0,47.0
2021/03/12,15,99.44583333333333,47.166666666666664
2021/03/12,16,99.83966666666667,48.333333333333336
2021/03/12,17,99.76583333333333,48.166666666666664
2021/03/12,18,98.92833333333333,46.166666666666664
2021/03/12,19,100.0,45.5
2021/03/12,20,99.926,45.666666666666664
2021/03/12,21,99.88900000000001,45.166666666666664
2021/03/12,22,99.5195,43.0
2021/03/12,23,98.09083333333332,42.666666666666664
2021/03/13,00,90.478,39.166666666666664
2021/03/13,01,90.34233333333333,35.833333333333336
2021/03/13,02,99.77850000000001,34.5
2021/03/13,03,99.91383333333333,33.833333333333336
2021/03/13,04,99.91366666666666,32.833333333333336
2021/03/13,05,100.0,32.166666666666664
2021/03/13,06,99.67966666666666,50.166666666666664
2021/03/13,07,98.47216666666667,68.66666666666667
2021/03/13,08,99.101,67.16666666666667
2021/03/13,09,99.96300000000001,68.16666666666667
2021/03/13,10,99.815,68.0
2021/03/13,11,99.17483333333332,66.66666666666667
2021/03/13,12,99.13766666666668,63.333333333333336
2021/03/13,13,99.06366666666668,62.666666666666664
2021/03/13,14,99.76583333333333,63.833333333333336
2021/03/13,15,99.97533333333332,64.0
2021/03/13,16,99.97533333333332,65.66666666666667
2021/03/13,17,99.926,69.83333333333333
2021/03/13,18,99.42099999999999,66.83333333333333
2021/03/13,19,99.13766666666668,62.0
2021/03/13,20,99.95066666666666,62.166666666666664
2021/03/13,21,99.889,61.166666666666664
2021/03/13,22,99.4825,63.333333333333336
2021/03/13,23,99.88900000000001,71.33333333333333
2021/03/14,00,99.86433333333333,70.5
2021/03/14,01,98.0415,65.66666666666667
